epoch,loss
0,3037.455322265625
1,2392.2958984375
2,2234.60693359375
3,2117.2041015625
4,2026.2418212890625
5,1948.056396484375
6,1882.396728515625
7,1836.288818359375
8,1789.525146484375
9,1755.10205078125
10,1727.300537109375
11,1702.3936767578125
12,1684.2310791015625
13,1667.3575439453125
14,1657.3634033203125
15,1636.9837646484375
16,1628.17626953125
17,1610.592041015625
18,1612.3896484375
19,1597.075927734375
20,1595.390869140625
21,1577.994873046875
22,1584.023193359375
23,1571.7379150390625
24,1565.045166015625
25,1562.561279296875
26,1552.00390625
27,1550.482177734375
28,1543.9384765625
29,1543.779296875
30,1533.609375
31,1477.6754150390625
32,1471.802734375
33,1468.8397216796875
34,1470.3251953125
35,1463.352294921875
36,1466.197265625
37,1459.137939453125
38,1462.9107666015625
39,1458.6873779296875
40,1458.802001953125
41,1458.1837158203125
42,1457.1668701171875
43,1453.7264404296875
44,1455.6793212890625
45,1456.063720703125
46,1450.9873046875
47,1449.833740234375
48,1452.2239990234375
49,1451.5589599609375
50,1448.0203857421875
51,1452.19677734375
52,1446.1085205078125
53,1447.497802734375
54,1452.5814208984375
55,1443.037841796875
56,1446.1739501953125
57,1441.5023193359375
58,1445.9951171875
59,1444.1962890625
60,1443.9510498046875
61,1433.095703125
62,1433.8206787109375
63,1434.2900390625
64,1429.4141845703125
65,1436.6593017578125
66,1433.5379638671875
67,1429.53076171875
68,1431.1976318359375
69,1431.98388671875
70,1426.6021728515625
71,1433.3338623046875
72,1430.9920654296875
73,1425.768798828125
74,1432.72900390625
75,1426.982666015625
76,1430.7198486328125
77,1429.31005859375
78,1426.713623046875
79,1428.0064697265625
